HIV1	HIV2	HIV3	HIV4	Cont1	Cont2	Cont3	Cont4
208.32811	169.64848	156.65959	219.36836	298.15228	239.64401	154.63945	314.22516
45.53126	37.26336	49.48734	59.40179	49.99509	34.91022	32.15089	38.85049
92.02831	81.91891	90.19992	97.67064	137.42429	95.5116	78.71632	100.16535
613.0728	491.74197	268.70438	633.75024	688.16895	534.5547	389.79422	881.19
678.01294	504.9551	341.5171	702.6802	547.0695	396.73953	318.29785	607.089
154.74847	128.43657	149.18692	265.68396	187.10756	144.37135	128.99226	195.5037
45.53646	25.75237	113.79855	77.87371	76.97847	35.99112	21.10011	60.57032
29.8157	19.89262	90.81134	50.34934	75.62978	35.30589	13.90415	33.70777
49.45358	8.78042	53.28323	66.59489	55.61993	28.61349	18.44238	49.85248
568.22754	426.0976	406.31076	591.0493	827.57043	528.4935	574.3355	715.5786
194.48537	141.64355	136.30316	207.69667	258.0378	173.1471	172.01355	205.51782
144.81285	84.01308	114.61762	158.32558	151.50815	67.28983	121.15852	137.9389
200.41351	81.07615	133.814	254.42311	284.15738	135.41405	151.91124	223.16335
40.02277	13.27451	36.08046	250.84583	55.15631	15.47469	23.90782	75.25375
50.57504	9.00479	42.09186	191.08684	61.80836	17.84593	24.66438	61.90484
542.297	207.7023	292.85324	358.736	751.08276	309.0105	605.3954	707.81384
200.55424	159.05434	185.21788	240.74765	232.83595	182.76237	214.21443	222.79346
1277.3419	547.9072	618.73334	781.14954	1671.6447	763.47424	1210.8604	1421.0701
561.91724	269.2916	330.65997	478.14334	732.61536	368.83725	444.77893	585.732
40.53582	13.70518	23.32887	40.53724	58.15587	22.31063	26.1211	42.87885
82.57462	6.19318	14.95095	82.62534	832.7334	18.44738	12.3955	32.38656
318.79883	168.35707	209.33478	451.23788	426.79996	209.04272	296.4342	351.76477
28.00972	7.17554	18.50922	43.44764	45.94806	25.52652	13.11398	27.53065
46.38031	18.91584	40.32961	50.89738	50.73959	32.92183	40.46329	46.59047
244.48279	164.89812	198.89748	222.9899	316.58728	230.04141	265.0119	295.61743
15.0344	5.46384	22.96141	48.18831	35.4383	10.78751	1.12191	16.03813
37.41712	3.56897	51.11508	55.07603	48.34437	24.30855	33.00944	36.80289
25.38859	21.52559	56.30954	57.13066	35.74756	34.52207	13.65896	46.44129
16.51369	12.13498	64.09836	39.0808	41.65865	20.44496	41.73397	29.39103
381.7347	183.59412	299.43723	311.39215	579.90497	279.3305	518.2033	503.0963
20.48632	2.65542	79.60402	256.93307	57.11351	32.7143	44.77901	45.61671
997.40924	530.2966	803.70624	1055.7915	1146.3431	640.75903	1289.3977	1101.008
57.011	31.62022	111.68317	276.36685	112.14346	60.5719	102.9339	77.18429
70.91001	33.41736	71.40575	174.83134	85.18958	62.94012	71.11582	83.71301
56.93011	33.04184	97.6253	109.78207	67.73529	35.47375	65.19952	50.61797
685.1785	335.7737	522.25494	450.85266	673.4692	380.08792	937.7466	689.1446
45.4267	14.45854	55.70444	93.42005	73.0844	33.53005	36.71392	12.2051
1352.5425	749.63513	1032.6177	651.47656	1830.1125	1258.2948	2539.6697	1453.942
30.46852	30.22173	71.88638	78.48438	50.3469	105.68238	46.19764	103.51217
31.62616	22.22162	48.95507	77.36317	55.48351	25.1962	25.06384	56.33403
416.39737	367.35776	184.62025	437.92026	370.42206	319.38712	202.01115	500.3978
1600.3108	1320.5337	693.98175	1463.056	1795.7413	1499.9702	1101.5569	2285.5747
72.28217	35.03553	64.06065	96.49506	123.50546	46.98764	31.48168	81.36645
52.16204	21.63388	48.66564	104.04234	83.56655	38.34972	25.66605	61.9208
255.15318	167.21736	115.20025	222.84782	372.79398	249.94562	221.42801	442.9468
1.58766	9.21518	12.44763	32.54033	25.83955	14.60365	12.86331	26.44384
1391.4181	955.70355	783.37286	1437.0532	1981.9602	1324.1465	1012.6545	1811.5271
219.40361	126.42519	226.74669	399.10803	272.08875	174.54651	206.76584	382.2311
39.44914	12.84427	70.30341	64.06021	55.45436	45.10279	19.71898	42.18206
100.26605	49.61435	87.54551	162.30688	136.74338	62.62607	60.67565	102.09989
3.93069	5.52993	10.14473	9.48926	10.31143	10.47274	5.61541	1.38489
10.257	0.41895	10.95838	24.34368	6.9801	7.17488	15.1201	29.75735
2.68503	1.63704	6.1822	9.86115	5.71665	3.11603	8.45661	7.12957
10.03701	8.78389	0.22022	147.32242	4.42869	6.24002	9.48818	17.83806
31.74412	3.02593	17.96169	82.14461	43.36134	8.42744	14.0808	31.53866
180.17564	111.94722	147.19368	250.97429	227.18465	150.53177	121.32291	188.44576
2896.0278	1240.8927	1430.4746	1660.2336	4171.8623	1882.0128	3298.2034	3547.368
